country,deficit,S,present,genus_insert,family_insert,order_insert
Hawaii,0.626319838,1085,555,383,121,26
Virgin Is. (US),0.396583153,531,387,107,36,1
Venezuela,0.603200109,1546,801,573,168,4
Samoa,0.426120406,934,693,188,50,3
St Paul's Rocks,0.316018997,52,42,8,2,0
Ogasawara Is.,0.447130739,783,578,165,40,0
Afghanistan,0.526229858,108,56,41,11,0
Andorra,0,7,7,0,0,0
Azerbaijan,0.525217262,81,50,25,6,0
Austria,0.173389442,69,58,11,0,0
Armenia,0.247648838,42,33,9,0,0
Belgium,0.16633409,138,126,10,2,0
Bosnia Herzegov.,0.323290287,276,224,41,10,1
Bulgaria,0.31527288,198,161,33,4,0
Belarus,0.044687017,35,34,1,0,0
Croatia,0.3304281,332,262,55,14,1
Czechia,0,53,53,0,0,0
Denmark,0.16639611,173,157,12,4,0
Estonia,0.098126846,64,61,3,0,0
Finland,0.110867052,82,74,8,0,0
France,0.387054361,649,489,113,43,4
Georgia,0.326096237,123,96,26,1,0
Germany,0.218140621,187,160,24,3,0
Greece,0.362562007,481,367,90,23,1
Hungary,0.015167162,57,56,1,0,0
Ireland,0.344042784,318,245,51,20,2
Italy,0.367785232,456,351,77,27,1
Kazakhstan,0.616788114,90,55,30,5,0
Latvia,0.007439193,82,81,1,0,0
Liechtenstein,0,11,11,0,0,0
Lithuania,0.018048427,82,80,2,0,0
Luxembourg,0.08744015,12,11,1,0,0
Moldova,0.088026483,55,52,3,0,0
Montenegro,0.344070298,263,202,47,13,1
Netherlands,0.156298497,158,145,11,2,0
Norway,0.241047224,237,200,29,8,0
Poland,0.135359224,109,100,8,1,0
Romania,0.321469896,172,139,30,3,0
Slovakia,0.047057601,62,60,2,0,0
Slovenia,0.287756066,326,272,43,10,1
Spain,0.39389779,646,482,112,45,7
Sweden,0.158637265,195,172,20,3,0
Switzerland,0.196237622,59,47,11,1,0
Turkey,0.471921579,621,373,224,23,1
Turkmenistan,0.574440117,49,27,12,10,0
Ukraine,0.318909706,215,168,43,4,0
North Macedonia,0.460916027,52,36,15,1,0
UK,0.270899214,319,263,43,12,1
Uzbekistan,0.585191883,49,32,12,5,0
Serbia,0.160705148,73,68,5,0,0
Argentina,0.555956376,826,477,273,74,2
Bolivia,0.674877819,373,172,162,37,2
Paraguay,0.537213211,246,143,89,14,0
Uruguay,0.442713818,582,390,153,39,0
Midway Is.,0.350570736,65,46,19,0,0
Cocos I. (C.R.),0.592331274,104,56,42,5,1
Marquesas Is.,0.498528459,416,287,101,28,0
Christmas I.,0.395318962,603,474,99,29,1
Cocos Is. (Keel),0.368855777,503,405,77,20,1
Socotra Arch.,0.379580121,373,291,69,12,1
Canada,0.319031149,987,810,123,46,8
Malta,0.266001863,250,208,33,8,1
Morocco,0.432485584,575,392,127,46,10
Madeira Is.,0.433721368,500,332,114,36,18
West Sahara,0.393016082,355,249,78,26,2
Ascension I.,0.461530487,151,106,34,11,0
Trind. M.Vaz Is.,0.253922293,81,70,8,3,0
Tuamotu Is.,0.402165547,420,323,72,24,1
Caroline I.,0.385955504,231,178,46,7,0
Easter I.,0.569236111,149,83,50,16,0
Tahiti,0.355578059,317,255,49,12,1
Revillagigedo,0.460253129,76,52,24,0,0
Timor-Leste,0.406277227,301,227,60,14,0
Neth Antilles,0.323140067,147,126,18,3,0
Chile,0.656526906,605,274,240,81,10
Syria,0.336855185,300,227,66,6,1
Azores Is.,0.465021163,321,214,74,26,7
Canary Is.,0.43231709,471,314,118,33,6
Bangladesh,0.498672865,512,338,125,48,1
Bhutan,0.332975367,43,32,11,0,0
Nepal,0.498520005,179,116,50,13,0
Albania,0.312705792,340,270,58,11,1
Algeria,0.318958141,368,295,54,18,1
Cyprus,0.263399566,187,158,23,5,1
Lebanon,0.317507512,229,184,39,5,1
Libya,0.253196975,202,171,23,7,1
Monaco,0.349130422,217,169,36,11,1
Tokelau,0.23577352,110,95,15,0,0
Tunisia,0.331213934,265,211,43,10,1
Wake I.,0.363708645,208,166,31,11,0
South Shetland,0.487884415,58,43,10,5,0
Alaska,0.446110145,455,342,73,38,2
Zimbabwe,0.740407149,124,56,35,33,0
Rodriguez,0.372136393,139,104,31,4,0
Macau,0.460265802,97,72,21,4,0
Johnston I.,0.438790709,167,119,45,3,0
Clipperton I.,0.371379538,39,30,9,0,0
US Minor Is.,0.291970865,104,84,19,1,0
Burundi,0.586230219,232,158,56,18,0
Rwanda,0.841859647,64,16,35,13,0
Zambia,0.709536506,362,220,95,47,0
Mongolia,0.447009143,72,47,21,4,0
Falkland Is.,0.417205393,75,52,13,9,1
Crozet Is.,0.39815385,62,44,11,6,1
Kerguelen Is.,0.453638641,98,68,24,6,0
Portugal,0.371122092,455,351,74,24,6
Gibraltar,0.339041945,272,212,42,17,1
Iceland,0.33600066,246,193,32,15,6
UK Engld Wal,0.240093954,98,79,15,4,0
UK Scotland,0.257522748,107,86,14,7,0
UK No Ireld,0.225837514,77,64,8,5,0
Channel Is.,0.229596103,77,63,8,5,1
Isle of Man,0.22201225,139,120,15,4,0
Faeroe Is.,0.245340467,94,80,10,4,0
Svalbard,0.292760666,52,45,7,0,0
Kuril Is.,0.599487192,179,101,51,26,1
Adelaide I.,0,2,2,0,0,0
Antarctica,0.65303649,188,109,61,18,0
Admiralty Is.,0.431447868,136,101,27,8,0
Juan Fernández,0.537746191,118,65,41,11,1
Greenland,0.428515186,235,176,32,21,6
St Pierre Mique.,0,8,8,0,0,0
Chad,0.616478572,136,76,33,27,0
Ethiopia,0.654522663,120,65,38,17,0
Mali,0.610267862,138,82,31,25,0
Uganda,0.882750293,252,61,171,20,0
Burkina Faso,0.564660902,118,69,27,22,0
Niger,0.557313558,106,64,20,22,0
Central Afr. Rp,0.669659386,182,102,52,28,0
Chatham Is.,0.752702249,5,2,1,1,1
Amsterdam I.,0.518114717,33,21,8,4,0
St Paul I.,0.529010968,32,20,8,4,0
Tristan da Cunha,0.535479003,28,18,8,2,0
Macquarie Is.,0.301532969,15,11,2,2,0
Desventuradas Is,0.699558762,41,15,21,4,1
Swaziland,0.642516581,48,21,14,13,0
Jan Mayen I.,0,1,1,0,0,0
Pac Is Trust Tr,0.249513418,26,23,3,0,0
St Maarten (NL),0,4,4,0,0,0
St Martin (FR),0.158063208,5,4,1,0,0
Bouvet I.,0.132027096,13,12,0,1,0
South Orkney Is.,0.424139709,57,46,7,4,0
US Misc Pac,0.085591313,8,7,1,0,0
Terre Adélie,0.292243209,16,15,0,1,0
South Sudan,0.334189644,15,11,3,1,0
Lesotho,0.746571926,7,3,2,1,1
S. Georg. Sandw.,0.255199086,48,38,8,2,0
Botswana,0.803648997,80,37,21,22,0
Br Indian Oc Tr,0.284171862,33,30,2,1,0
Europa I.,0,1,1,0,0,0
Glorieuses Is.,0,2,2,0,0,0
Juan de Nova I.,0,2,2,0,0,0
Elephant I.,0,10,10,0,0,0
Heard McDon Is.,0,26,26,0,0,0
Prince Edward Is,0.268036414,12,10,1,0,1
Balleny Is.,0.15479696,7,6,0,1,0
Kyrgyzstan,0.843483521,19,6,12,1,0
Bon. Eust. Saba,0.158328336,6,5,1,0,0
Tajikistan,1,4,0,3,1,0
Scott I.,0,5,5,0,0,0
Peter I I.,0.095335231,5,3,0,2,0
