Country	PD_deficit	S	Present
USA	0.385127449	2385	1755
Virgin Is. (US)	0.338207719	525	396
St Paul's Rocks	0.283747001	51	41
Christmas I.	0.342308946	588	464
Cocos Is. (Keel)	0.336768275	493	398
Bassas da India	0.163654257	286	262
Socotra Arch.	0.343566932	392	310
Canada	0.239684018	991	834
Morocco	0.35202647	582	413
Madeira Is.	0.372445685	505	344
West Sahara	0.31712709	357	254
Ascension I.	0.41937632	152	109
Trind. M.Vaz Is.	0.22653944	82	71
Tuamotu Is.	0.333427514	418	326
Caroline I.	0.350886337	228	177
Easter I.	0.525218591	146	81
Tahiti	0.339384177	312	253
Mongolia	0.417484981	71	48
Falkland Is.	0.349795786	76	52
Crozet Is.	0.376122505	65	46
Kerguelen Is.	0.461071252	100	69
Algeria	0.255027129	371	313
Cyprus	0.196899064	189	168
Gibraltar	0.269741609	274	221
Lebanon	0.25539067	230	195
Libya	0.182263746	203	181
Portugal	0.312588809	456	366
Canary Is.	0.365435855	474	325
Syria	0.259860155	301	243
Tunisia	0.240940329	266	226
Bangladesh	0.427317937	513	353
Admiralty Is.	0.379547211	135	100
Tokelau	0.233165955	110	95
Alaska	0.284316164	455	350
Kuril Is.	0.450549182	174	102
Revillagigedo	0.488892759	80	52
Timor-Leste	0.314050118	304	236
Neth Antilles	0.264373378	147	129
Chile	0.615534555	608	282
Azores Is.	0.384218752	326	226
Bhutan	0.326616271	42	32
Nepal	0.428041562	176	124
Albania	0.235580531	342	285
Monaco	0.291455988	219	177
Wake I.	0.319125245	208	168
South Shetland	0.394197541	58	45
Zimbabwe	0.521200418	124	66
Rodriguez	0.297565847	139	108
Macau	0.431815358	96	75
Johnston I.	0.41903857	166	118
Clipperton I.	0.414071239	41	30
US Minor Is.	0.278895217	100	81
Burundi	0.502745356	233	164
Rwanda	0.75703612	62	18
Zambia	0.599596488	360	232
Iceland	0.271541691	248	199
UK Engld Wal	0.213449896	100	85
UK Scotland	0.223490503	109	90
UK No Ireld	0.184996672	79	68
Channel Is.	0.200855612	78	66
Isle of Man	0.165075833	140	126
S. Georg. Sandw.	0.252043149	51	41
South Orkney Is.	0.42616262	57	48
Antarctica	0.533220413	188	111
Faeroe Is.	0.235299027	95	82
Svalbard	0.291595445	52	45
Adelaide I.	0	2	2
Juan Fernández	0.50715222	121	68
Greenland	0.357653975	240	183
St Pierre Mique.	0	8	8
Chad	0.479647294	136	86
Ethiopia	0.519463883	118	74
