"grids","species"
"Namak","Carassius auratus"
"Naracoorte.creek","Carassius auratus"
"Nazas","Carassius auratus"
"None.Given","Carassius auratus"
"Owens","Carassius auratus"
"Prespa","Carassius auratus"
"Qinghai","Carassius auratus"
"Reedy.lake","Carassius auratus"
"Round.lake","Carassius auratus"
"Ruoshui","Carassius auratus"
"Sulphur.Springs.valley","Carassius auratus"
"Tarim","Carassius auratus"
"Truckee","Carassius auratus"
"Valle.de.Mexico","Carassius auratus"
"Whitewater","Carassius auratus"
"Zarrine","Carassius auratus"
"Ziway.Hayk","Carassius auratus"
"Dead.Sea","Carassius carassius"
"Amu.Darya","Carassius gibelio"
"Prespa","Carassius gibelio"
"Syr.Darya","Carassius gibelio"
"Nazas","Carpiodes carpio"
"Qinghai","Carpiodes carpio"
"Ruoshui","Carpiodes carpio"
"Santa.Maria","Carpiodes carpio"
"Shule","Carpiodes carpio"
"Malheur.lake","Catostomus catostomus"
"Humboldt","Catostomus columbianus"
"Malheur.lake","Catostomus columbianus"
"Bear.river","Catostomus commersonii"
"Del.Carmen","Catostomus commersonii"
"Malheur.lake","Catostomus commersonii"
"Ruoshui","Catostomus commersonii"
"Shule","Catostomus commersonii"
"Aguanaval","Catostomus nebuliferus"
"Nazas","Catostomus nebuliferus"
"Humboldt","Catostomus occidentalis"
"Mojave","Catostomus occidentalis"
"Truckee","Catostomus occidentalis"
"Tanganyika","Chalinochromis brichardi"
"Amu.Darya","Channa argus"
"Syr.Darya","Channa argus"
"Dasht.e.Lut","Channa orientalis"
"Ahaggar","Chauliodus sloani"
"Mar.Chiquita","Cheirodon interruptus"
"Dead.Sea","Chelon ramada"
"Okavango","Chelon richardsonii"
"Dead.Sea","Chelon saliens"
"Aguanaval","Chirostoma jordani"
"Cuitzeo","Chirostoma jordani"
"Valle.de.Mexico","Chirostoma jordani"
"Bulloo","Chromis atripectoralis"
"Bulloo","Chromis viridis"
"Bear.river","Chrosomus neogaeus"
"Santa.Maria","Citharichthys stigmaeus"
"Whitewater","Citharichthys stigmaeus"
"George.lake","Citharinus citharus"
"Lake.Albert","Citharinus citharus"
"Tchad","Citharinus citharus"
"Tanganyika","Citharinus gibbosus"
"Tchad","Clarias camerunensis"
"Abhe.Bad","Clarias gariepinus"
"Awasa.Hayk","Clarias gariepinus"
"Baringo","Clarias gariepinus"
"Chilwa","Clarias gariepinus"
"Dead.Sea","Clarias gariepinus"
"Edward","Clarias gariepinus"
"Etosha.Pan","Clarias gariepinus"
"George.lake","Clarias gariepinus"
"Kivu","Clarias gariepinus"
"Kyoga","Clarias gariepinus"
"Lake.Albert","Clarias gariepinus"
"Lake.Malombe","Clarias gariepinus"
"Lake.Rukwa","Clarias gariepinus"
"Malawi","Clarias gariepinus"
"Natron","Clarias gariepinus"
"Okavango","Clarias gariepinus"
"Tana.lake","Clarias gariepinus"
"Tanganyika","Clarias gariepinus"
"Tassili","Clarias gariepinus"
"Tchad","Clarias gariepinus"
"Turkana","Clarias gariepinus"
"Uaso.Nyiro.River","Clarias gariepinus"
"Victoria.lake","Clarias gariepinus"
"Ziway.Hayk","Clarias gariepinus"
"Edward","Clarias liocephalus"
"George.lake","Clarias liocephalus"
"Kivu","Clarias liocephalus"
"Kyoga","Clarias liocephalus"
"Lac.Bulera","Clarias liocephalus"
"Lake.Albert","Clarias liocephalus"
"Lake.Bunyonyi","Clarias liocephalus"
"Lake.Rukwa","Clarias liocephalus"
"Malawi","Clarias liocephalus"
"Natron","Clarias liocephalus"
"Okavango","Clarias liocephalus"
"Tanganyika","Clarias liocephalus"
"Victoria.lake","Clarias liocephalus"
"Syr.Darya","Clupea harengus"
"Beysehir","Cobitis bilseli"
"Prespa","Cobitis taenia"
"Valle.de.Mexico","Conodon nobilis"
"Chilwa","Coptodon rendalli"
"Etosha.Pan","Coptodon rendalli"
"Kivu","Coptodon rendalli"
"Lake.Malombe","Coptodon rendalli"
"Lake.Rukwa","Coptodon rendalli"
"Malawi","Coptodon rendalli"
"Okavango","Coptodon rendalli"
"Tanganyika","Coptodon rendalli"
"Tchad","Coptodon rendalli"
"Victoria.lake","Coptodon rendalli"
"Tchad","Coptodon tholloni"
"Aguanaval","Coptodon zillii"
"Bahar.el.Hammar","Coptodon zillii"
"Dead.Sea","Coptodon zillii"
"Edward","Coptodon zillii"
"George.lake","Coptodon zillii"
"Kyoga","Coptodon zillii"
"Lake.Albert","Coptodon zillii"
"Loukos","Coptodon zillii"
"Malawi","Coptodon zillii"
"Naivasha","Coptodon zillii"
"Okavango","Coptodon zillii"
"Sebkhet.Safioune","Coptodon zillii"
"Tanganyika","Coptodon zillii"
"Tassili","Coptodon zillii"
"Tchad","Coptodon zillii"
"Valle.de.Mexico","Coptodon zillii"
"Victoria.lake","Coptodon zillii"
"Whitewater","Coptodon zillii"
"Ziway.Hayk","Coptodon zillii"
"Mojave","Cottus asper"
"Bear.river","Cottus bairdii"
"Malheur.lake","Cottus bairdii"
"Bear.river","Cottus beldingii"
"Humboldt","Cottus beldingii"
"Truckee","Cottus beldingii"
"Walker.USA","Cottus beldingii"
"Malheur.lake","Cottus confusus"
"Bear.river","Cottus rhotheus"
"Malheur.lake","Cottus rhotheus"
"Mashkel","Crossocheilus latius"
"Syr.Darya","Cryptopsaras couesii"
"Amu.Darya","Ctenopharyngodon idella"
"Balkhash","Ctenopharyngodon idella"
"Bear.river","Ctenopharyngodon idella"
"Cuitzeo","Ctenopharyngodon idella"
"Del.Carmen","Ctenopharyngodon idella"
"Nazas","Ctenopharyngodon idella"
"Shule","Ctenopharyngodon idella"
"Truckee","Ctenopharyngodon idella"
"Valle.de.Mexico","Ctenopharyngodon idella"
"Bear.river","Culaea inconstans"
"Devils.lake","Culaea inconstans"
"Syr.Darya","Cyclopterus lumpus"
"Amu.Darya","Cyclothone braueri"
"Helmand","Cyclothone braueri"
"Helmand","Cyclothone pallida"
"Mojave","Cymatogaster aggregata"
"Whitewater","Cynoscion regalis"
"Death.Valley","Cyprinodon nevadensis"
"Mojave","Cyprinodon nevadensis"
"Owens","Cyprinodon nevadensis"
"Death.Valley","Cyprinodon variegatus"
"Abant.lake","Cyprinus carpio"
"Abhe.Bad","Cyprinus carpio"
"Aguanaval","Cyprinus carpio"
"Amu.Darya","Cyprinus carpio"
"Antelope.Wash","Cyprinus carpio"
"Avoca","Cyprinus carpio"
"Barongarook.creek","Cyprinus carpio"
"Bear.lake","Cyprinus carpio"
"Bear.river","Cyprinus carpio"
"Blue.lake.Aus","Cyprinus carpio"
"Carlos.Tejedor","Cyprinus carpio"
"Casas.Grandes","Cyprinus carpio"
"Cogie.creek","Cyprinus carpio"
"Corangamite","Cyprinus carpio"
"Cornella.creek","Cyprinus carpio"
"Cuitzeo","Cyprinus carpio"
"Dead.Sea","Cyprinus carpio"
"Del.Carmen","Cyprinus carpio"
"Haunted.Gully","Cyprinus carpio"
"Humboldt","Cyprinus carpio"
"Laguna.Las.Tunas.Grandes","Cyprinus carpio"
"Lake.Boga","Cyprinus carpio"
"Lake.Eyre.Basin","Cyprinus carpio"
"Lake.George","Cyprinus carpio"
"Lake.Hindmarsh","Cyprinus carpio"
"Mailmans.creek","Cyprinus carpio"
"Malheur.lake","Cyprinus carpio"
"Mar.Chiquita","Cyprinus carpio"
"Mojave","Cyprinus carpio"
"Mosquito.creek","Cyprinus carpio"
"Naivasha","Cyprinus carpio"
"Namak","Cyprinus carpio"
"Nazas","Cyprinus carpio"
