"s" "f" "o" "insertions"
"5043" "Callopanchax_sidibeorum" "Nothobranchiidae" "Cyprinodontiformes" "Congeneric_insertion"
"5044" "Callopanchax_toddi" "Nothobranchiidae" "Cyprinodontiformes" "Present_in_Tree"
"5050" "Calophysus_macropterus" "Pimelodidae" "Siluriformes" "Present_in_Tree"
"5060" "Campellolebias_brucei" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"5061" "Campellolebias_chrysolineatus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"5062" "Campellolebias_dorsimaculatus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"5063" "Campellolebias_intermedius" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"5069" "Campostoma_anomalum" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5070" "Campostoma_oligolepis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5071" "Campostoma_ornatum" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5072" "Campostoma_pauciradii" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5073" "Campostoma_pullum" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5074" "Campostoma_spadiceum" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5075" "Campylomormyrus_alces" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5076" "Campylomormyrus_bredoi" "Mormyridae" "Osteoglossiformes" "Congeneric_insertion"
"5077" "Campylomormyrus_cassaicus" "Mormyridae" "Osteoglossiformes" "Congeneric_insertion"
"5078" "Campylomormyrus_christyi" "Mormyridae" "Osteoglossiformes" "Congeneric_insertion"
"5079" "Campylomormyrus_compressirostris" "Mormyridae" "Osteoglossiformes" "Congeneric_insertion"
"5080" "Campylomormyrus_curvirostris" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5081" "Campylomormyrus_elephas" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5082" "Campylomormyrus_luapulaensis" "Mormyridae" "Osteoglossiformes" "Congeneric_insertion"
"5083" "Campylomormyrus_mirus" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5084" "Campylomormyrus_numenius" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5085" "Campylomormyrus_orycteropus" "Mormyridae" "Osteoglossiformes" "Congeneric_insertion"
"5086" "Campylomormyrus_phantasticus" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5087" "Campylomormyrus_rhynchophorus" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5088" "Campylomormyrus_tamandua" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5089" "Campylomormyrus_tshokwe" "Mormyridae" "Osteoglossiformes" "Present_in_Tree"
"5093" "Candidia_barbata" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5094" "Candidia_pingtungensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5149" "Canthophrys_gongota" "Cobitidae" "Cypriniformes" "Present_in_Tree"
"5150" "Capoeta_aculeata" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5151" "Capoeta_angorae" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5152" "Capoeta_antalyensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5153" "Capoeta_aydinensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5154" "Capoeta_baliki" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5155" "Capoeta_banarescui" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5156" "Capoeta_barroisi" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5157" "Capoeta_bergamae" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5158" "Capoeta_buhsei" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5159" "Capoeta_caelestis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5160" "Capoeta_capoeta" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5161" "Capoeta_capoetoides" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5162" "Capoeta_coadi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5163" "Capoeta_damascina" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5164" "Capoeta_ekmekciae" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5165" "Capoeta_erhani" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5166" "Capoeta_ferdowsii" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5167" "Capoeta_fusca" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5168" "Capoeta_gracilis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5169" "Capoeta_kosswigi" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5170" "Capoeta_mandica" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5171" "Capoeta_mauricii" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5172" "Capoeta_pestai" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5173" "Capoeta_pyragyi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5174" "Capoeta_razii" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5175" "Capoeta_saadii" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5176" "Capoeta_sevangi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5177" "Capoeta_shajariani" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5178" "Capoeta_sieboldii" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5179" "Capoeta_tinca" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5180" "Capoeta_trutta" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5181" "Capoeta_turani" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5182" "Capoeta_umbla" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5183" "Capoetobrama_kuschakewitschi" "Cyprinidae" "Cypriniformes" "Family_insertion"
"5184" "Caprichromis_liemi" "Cichlidae" "Cichliformes" "Family_insertion"
"5185" "Caprichromis_orthognathus" "Cichlidae" "Cichliformes" "Congeneric_Family_level"
"5193" "Caquetaia_kraussii" "Cichlidae" "Cichliformes" "Present_in_Tree"
"5194" "Caquetaia_myersi" "Cichlidae" "Cichliformes" "Present_in_Tree"
"5195" "Caquetaia_spectabilis" "Cichlidae" "Cichliformes" "Present_in_Tree"
"5200" "Caragobius_burmanicus" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"5202" "Caragobius_urolepis" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"5233" "Caranx_latus" "Carangidae" "Perciformes" "Present_in_Tree"
"5240" "Caranx_sexfasciatus" "Carangidae" "Perciformes" "Present_in_Tree"
"5248" "Carasobarbus_apoensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5249" "Carasobarbus_canis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5250" "Carasobarbus_chantrei" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5251" "Carasobarbus_exulatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5252" "Carasobarbus_fritschii" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5253" "Carasobarbus_harterti" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5254" "Carasobarbus_kosswigi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5255" "Carasobarbus_luteus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5256" "Carasobarbus_moulouyensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5257" "Carasobarbus_sublimus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5258" "Carassioides_acuminatus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5259" "Carassioides_argentea" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5260" "Carassioides_macropterus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5261" "Carassioides_phongnhaensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5262" "Carassius_auratus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5263" "Carassius_carassius" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5264" "Carassius_cuvieri" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5265" "Carassius_gibelio" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5266" "Carassius_langsdorfii" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5267" "Carassius_praecipuus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"5306" "Cardiopharynx_schoutedeni" "Cichlidae" "Cichliformes" "Present_in_Tree"
"5428" "Carinotetraodon_borneensis" "Tetraodontidae" "Tetraodontiformes" "Present_in_Tree"
"5429" "Carinotetraodon_imitator" "Tetraodontidae" "Tetraodontiformes" "Present_in_Tree"
"5430" "Carinotetraodon_irrubesco" "Tetraodontidae" "Tetraodontiformes" "Present_in_Tree"
"5431" "Carinotetraodon_lorteti" "Tetraodontidae" "Tetraodontiformes" "Present_in_Tree"
"5432" "Carinotetraodon_salivator" "Tetraodontidae" "Tetraodontiformes" "Present_in_Tree"
"5433" "Carinotetraodon_travancoricus" "Tetraodontidae" "Tetraodontiformes" "Present_in_Tree"
"5442" "Carlana_eigenmanni" "Characidae" "Characiformes" "Present_in_Tree"
"5443" "Carlarius_heudelotii" "Ariidae" "Siluriformes" "Present_in_Tree"
"5445" "Carlhubbsia_kidderi" "Poeciliidae" "Cyprinodontiformes" "Present_in_Tree"
"5446" "Carlhubbsia_stuarti" "Poeciliidae" "Cyprinodontiformes" "Present_in_Tree"
"5447" "Carnegiella_marthae" "Gasteropelecidae" "Characiformes" "Present_in_Tree"
"5448" "Carnegiella_myersi" "Gasteropelecidae" "Characiformes" "Congeneric_insertion"
"5449" "Carnegiella_schereri" "Gasteropelecidae" "Characiformes" "Congeneric_insertion"
"5450" "Carnegiella_strigata" "Gasteropelecidae" "Characiformes" "Present_in_Tree"
"5451" "Carpiodes_carpio" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5452" "Carpiodes_cyprinus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5453" "Carpiodes_velifer" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5458" "Caspiosoma_caspium" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"5472" "Catathyridium_garmani" "Achiridae" "Pleuronectiformes" "Congeneric_insertion"
"5473" "Catathyridium_grandirivi" "Achiridae" "Pleuronectiformes" "Congeneric_insertion"
"5474" "Catathyridium_jenynsii" "Achiridae" "Pleuronectiformes" "Present_in_Tree"
"5475" "Catathyridium_lorentzii" "Achiridae" "Pleuronectiformes" "Congeneric_insertion"
"5477" "Cathorops_agassizii" "Ariidae" "Siluriformes" "Present_in_Tree"
"5478" "Cathorops_aguadulce" "Ariidae" "Siluriformes" "Present_in_Tree"
"5479" "Cathorops_arenatus" "Ariidae" "Siluriformes" "Present_in_Tree"
"5482" "Cathorops_fuerthii" "Ariidae" "Siluriformes" "Present_in_Tree"
"5484" "Cathorops_hypophthalmus" "Ariidae" "Siluriformes" "Present_in_Tree"
"5485" "Cathorops_kailolae" "Ariidae" "Siluriformes" "Congeneric_insertion"
"5486" "Cathorops_liropus" "Ariidae" "Siluriformes" "Congeneric_insertion"
"5487" "Cathorops_manglarensis" "Ariidae" "Siluriformes" "Present_in_Tree"
"5488" "Cathorops_mapale" "Ariidae" "Siluriformes" "Present_in_Tree"
"5489" "Cathorops_melanopus" "Ariidae" "Siluriformes" "Congeneric_insertion"
"5491" "Cathorops_nuchalis" "Ariidae" "Siluriformes" "Congeneric_insertion"
"5493" "Cathorops_raredonae" "Ariidae" "Siluriformes" "Present_in_Tree"
"5495" "Cathorops_steindachneri" "Ariidae" "Siluriformes" "Present_in_Tree"
"5496" "Cathorops_taylori" "Ariidae" "Siluriformes" "Present_in_Tree"
"5497" "Cathorops_tuyra" "Ariidae" "Siluriformes" "Present_in_Tree"
"5498" "Cathorops_variolosus" "Ariidae" "Siluriformes" "Congeneric_insertion"
"5500" "Catlocarpio_siamensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"5501" "Catoprion_mento" "Serrasalmidae" "Characiformes" "Present_in_Tree"
"5502" "Catostomus_ardens" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5503" "Catostomus_bernardini" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5504" "Catostomus_bondi" "Catostomidae" "Cypriniformes" "Congeneric_insertion"
"5505" "Catostomus_cahita" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5506" "Catostomus_catostomus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5507" "Catostomus_clarkii" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5508" "Catostomus_columbianus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5509" "Catostomus_commersonii" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5510" "Catostomus_conchos" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5511" "Catostomus_discobolus" "Catostomidae" "Cypriniformes" "Congeneric_insertion"
"5512" "Catostomus_fumeiventris" "Catostomidae" "Cypriniformes" "Congeneric_insertion"
"5513" "Catostomus_insignis" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5514" "Catostomus_latipinnis" "Catostomidae" "Cypriniformes" "Congeneric_insertion"
"5515" "Catostomus_leopoldi" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5516" "Catostomus_macrocheilus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5517" "Catostomus_microps" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5518" "Catostomus_nebuliferus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5519" "Catostomus_occidentalis" "Catostomidae" "Cypriniformes" "Congeneric_insertion"
"5520" "Catostomus_platyrhynchus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5521" "Catostomus_plebeius" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5522" "Catostomus_rimiculus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5523" "Catostomus_santaanae" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5524" "Catostomus_snyderi" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5525" "Catostomus_tahoensis" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5526" "Catostomus_tsiltcoosensis" "Catostomidae" "Cypriniformes" "Congeneric_insertion"
"5527" "Catostomus_utawana" "Catostomidae" "Cypriniformes" "Congeneric_insertion"
"5528" "Catostomus_warnerensis" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5529" "Catostomus_wigginsi" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"5548" "Centrarchus_macropterus" "Centrarchidae" "Centrarchiformes" "Present_in_Tree"
"5563" "Centrochir_crocodili" "Doradidae" "Siluriformes" "Present_in_Tree"
"5564" "Centrodoras_brachiatus" "Doradidae" "Siluriformes" "Present_in_Tree"
"5565" "Centrodoras_hasemani" "Doradidae" "Siluriformes" "Present_in_Tree"
"5584" "Centromochlus_altae" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5585" "Centromochlus_bockmanni" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5586" "Centromochlus_britskii" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5587" "Centromochlus_concolor" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5588" "Centromochlus_existimatus" "Auchenipteridae" "Siluriformes" "Present_in_Tree"
"5589" "Centromochlus_ferrarisi" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5590" "Centromochlus_heckelii" "Auchenipteridae" "Siluriformes" "Present_in_Tree"
"5591" "Centromochlus_macracanthus" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5592" "Centromochlus_megalops" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5593" "Centromochlus_meridionalis" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5594" "Centromochlus_perugiae" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5595" "Centromochlus_punctatus" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5596" "Centromochlus_reticulatus" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5597" "Centromochlus_romani" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5598" "Centromochlus_schultzi" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5599" "Centromochlus_simplex" "Auchenipteridae" "Siluriformes" "Congeneric_insertion"
"5619" "Centropomus_ensiferus" "Centropomidae" "Perciformes" "Present_in_Tree"
"5620" "Centropomus_medius" "Centropomidae" "Perciformes" "Present_in_Tree"
"5622" "Centropomus_nigrescens" "Centropomidae" "Perciformes" "Present_in_Tree"
"5623" "Centropomus_parallelus" "Centropomidae" "Perciformes" "Present_in_Tree"
"5624" "Centropomus_pectinatus" "Centropomidae" "Perciformes" "Present_in_Tree"
"5625" "Centropomus_poeyi" "Centropomidae" "Perciformes" "Present_in_Tree"
"5627" "Centropomus_undecimalis" "Centropomidae" "Perciformes" "Present_in_Tree"
"5682" "Cephalocassis_borneensis" "Ariidae" "Siluriformes" "Present_in_Tree"
"5683" "Cephalocassis_jatia" "Ariidae" "Siluriformes" "Congeneric_insertion"
"5684" "Cephalocassis_manillensis" "Ariidae" "Siluriformes" "Congeneric_insertion"
"5685" "Cephalocassis_melanochir" "Ariidae" "Siluriformes" "Present_in_Tree"
"5728" "Cephalosilurus_albomarginatus" "Pseudopimelodidae" "Siluriformes" "Congeneric_insertion"
"5729" "Cephalosilurus_apurensis" "Pseudopimelodidae" "Siluriformes" "Present_in_Tree"
"5730" "Cephalosilurus_fowleri" "Pseudopimelodidae" "Siluriformes" "Congeneric_insertion"
"5731" "Cephalosilurus_nigricaudus" "Pseudopimelodidae" "Siluriformes" "Congeneric_insertion"
"5741" "Ceratobranchia_binghami" "Characidae" "Characiformes" "Family_insertion"
"5742" "Ceratobranchia_delotaenia" "Characidae" "Characiformes" "Congeneric_Family_level"
"5743" "Ceratobranchia_elatior" "Characidae" "Characiformes" "Congeneric_Family_level"
"5744" "Ceratobranchia_joanae" "Characidae" "Characiformes" "Congeneric_Family_level"
"5745" "Ceratobranchia_obtusirostris" "Characidae" "Characiformes" "Congeneric_Family_level"
"5748" "Ceratoglanis_pachynema" "Siluridae" "Siluriformes" "Congeneric_insertion"
"5749" "Ceratoglanis_scleronema" "Siluridae" "Siluriformes" "Present_in_Tree"
"5761" "Cestraeus_goldiei" "Mugilidae" "Mugiliformes" "Present_in_Tree"
"5762" "Cestraeus_oxyrhyncus" "Mugilidae" "Mugiliformes" "Present_in_Tree"
"5763" "Cestraeus_plicatilis" "Mugilidae" "Mugiliformes" "Congeneric_insertion"
"5779" "Cetopsidium_ferreirai" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5780" "Cetopsidium_minutum" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5781" "Cetopsidium_morenoi" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5782" "Cetopsidium_orientale" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5783" "Cetopsidium_pemon" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5784" "Cetopsidium_roae" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5785" "Cetopsidium_soniae" "Cetopsidae" "Siluriformes" "Present_in_Tree"
"5786" "Cetopsis_amphiloxa" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5787" "Cetopsis_arcana" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5788" "Cetopsis_baudoensis" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5789" "Cetopsis_caiapo" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5790" "Cetopsis_candiru" "Cetopsidae" "Siluriformes" "Present_in_Tree"
"5791" "Cetopsis_coecutiens" "Cetopsidae" "Siluriformes" "Present_in_Tree"
"5792" "Cetopsis_fimbriata" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5793" "Cetopsis_gobioides" "Cetopsidae" "Siluriformes" "Present_in_Tree"
"5794" "Cetopsis_jurubidae" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5795" "Cetopsis_montana" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5796" "Cetopsis_motatanensis" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5797" "Cetopsis_oliveirai" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5798" "Cetopsis_orinoco" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5799" "Cetopsis_othonops" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5800" "Cetopsis_parma" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5801" "Cetopsis_pearsoni" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5802" "Cetopsis_plumbea" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5803" "Cetopsis_sandrae" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5804" "Cetopsis_sarcodes" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5805" "Cetopsis_starnesi" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5806" "Cetopsis_umbrosa" "Cetopsidae" "Siluriformes" "Congeneric_insertion"
"5807" "Cetopsorhamdia_boquillae" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"5808" "Cetopsorhamdia_filamentosa" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"5809" "Cetopsorhamdia_iheringi" "Heptapteridae" "Siluriformes" "Present_in_Tree"
"5810" "Cetopsorhamdia_insidiosa" "Heptapteridae" "Siluriformes" "Present_in_Tree"
"5811" "Cetopsorhamdia_molinae" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"5812" "Cetopsorhamdia_nasus" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"5813" "Cetopsorhamdia_orinoco" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"5814" "Cetopsorhamdia_phantasia" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"5815" "Cetopsorhamdia_picklei" "Heptapteridae" "Siluriformes" "Congeneric_insertion"
"5820" "Chaca_bankanensis" "Chacidae" "Siluriformes" "Present_in_Tree"
"5821" "Chaca_burmensis" "Chacidae" "Siluriformes" "Congeneric_insertion"
"5822" "Chaca_chaca" "Chacidae" "Siluriformes" "Present_in_Tree"
"5823" "Chaca_serica" "Chacidae" "Siluriformes" "Congeneric_insertion"
"5827" "Chaenogobius_annularis" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"5845" "Chaetobranchopsis_australis" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"5846" "Chaetobranchopsis_orbicularis" "Cichlidae" "Cichliformes" "Present_in_Tree"
"5847" "Chaetobranchus_flavescens" "Cichlidae" "Cichliformes" "Present_in_Tree"
"5848" "Chaetobranchus_semifasciatus" "Cichlidae" "Cichliformes" "Present_in_Tree"
"5955" "Chaetostoma_aburrensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5956" "Chaetostoma_alternifasciatum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5957" "Chaetostoma_anale" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5958" "Chaetostoma_anomalum" "Loricariidae" "Siluriformes" "Present_in_Tree"
"5959" "Chaetostoma_bifurcum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5960" "Chaetostoma_branickii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5961" "Chaetostoma_breve" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5962" "Chaetostoma_brevilabiatum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5963" "Chaetostoma_changae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5964" "Chaetostoma_daidalmatos" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5965" "Chaetostoma_dermorhynchum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5966" "Chaetostoma_dorsale" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5967" "Chaetostoma_dupouii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5968" "Chaetostoma_fischeri" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5969" "Chaetostoma_formosae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5970" "Chaetostoma_guairense" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5971" "Chaetostoma_jegui" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5972" "Chaetostoma_lepturum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5973" "Chaetostoma_leucomelas" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5974" "Chaetostoma_lineopunctatum" "Loricariidae" "Siluriformes" "Present_in_Tree"
"5975" "Chaetostoma_loborhynchos" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5976" "Chaetostoma_machiquense" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5977" "Chaetostoma_marginatum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5978" "Chaetostoma_marmorescens" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5979" "Chaetostoma_microps" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5980" "Chaetostoma_milesi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5981" "Chaetostoma_mollinasum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5982" "Chaetostoma_niveum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5983" "Chaetostoma_nudirostre" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5984" "Chaetostoma_palmeri" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5985" "Chaetostoma_patiae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5986" "Chaetostoma_paucispinis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5987" "Chaetostoma_pearsei" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5988" "Chaetostoma_sovichthys" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5989" "Chaetostoma_spondylus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5990" "Chaetostoma_stannii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5991" "Chaetostoma_stroumpoulos" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5992" "Chaetostoma_tachiraense" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5993" "Chaetostoma_taczanowskii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5994" "Chaetostoma_thomsoni" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5995" "Chaetostoma_trimaculineum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5996" "Chaetostoma_vagum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5997" "Chaetostoma_vasquezi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5998" "Chaetostoma_venezuelae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"5999" "Chaetostoma_yurubiense" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"6002" "Chagunius_baileyi" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"6003" "Chagunius_chagunio" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"6004" "Chagunius_nicholsi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"6007" "Chalceus_epakros" "Characidae" "Characiformes" "Present_in_Tree"
"6008" "Chalceus_erythrurus" "Characidae" "Characiformes" "Present_in_Tree"
