"s" "f" "o" "insertions"
"229" "Acantopsis_octoactinotos" "Cobitidae" "Cypriniformes" "Congeneric_insertion"
"230" "Acantopsis_rungthipae" "Cobitidae" "Cypriniformes" "Congeneric_insertion"
"231" "Acantopsis_spectabilis" "Cobitidae" "Cypriniformes" "Congeneric_insertion"
"232" "Acantopsis_thiemmedhi" "Cobitidae" "Cypriniformes" "Congeneric_insertion"
"233" "Acapoeta_tanganicae" "Cyprinidae" "Cypriniformes" "Family_insertion"
"234" "Acarichthys_heckelii" "Cichlidae" "Cichliformes" "Present_in_Tree"
"236" "Acaronia_nassa" "Cichlidae" "Cichliformes" "Present_in_Tree"
"237" "Acaronia_vultuosa" "Cichlidae" "Cichliformes" "Present_in_Tree"
"239" "Acentrogobius_caninus" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"241" "Acentrogobius_chlorostigmatoides" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"243" "Acentrogobius_dayi" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"245" "Acentrogobius_griseus" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"246" "Acentrogobius_janthinopterus" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"251" "Acentrogobius_nebulosus" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"252" "Acentrogobius_pellidebilis" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"254" "Acentrogobius_simplex" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"256" "Acentrogobius_therezieni" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"260" "Acentrogobius_viridipunctatus" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"261" "Acentronichthys_leptos" "Heptapteridae" "Siluriformes" "Present_in_Tree"
"267" "Acestridium_colombiense" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"268" "Acestridium_dichromum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"269" "Acestridium_discus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"270" "Acestridium_gymnogaster" "Loricariidae" "Siluriformes" "Present_in_Tree"
"271" "Acestridium_martini" "Loricariidae" "Siluriformes" "Present_in_Tree"
"272" "Acestridium_scutatum" "Loricariidae" "Siluriformes" "Present_in_Tree"
"273" "Acestridium_triplax" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"274" "Acestrocephalus_acutus" "Characidae" "Characiformes" "Congeneric_insertion"
"275" "Acestrocephalus_anomalus" "Characidae" "Characiformes" "Congeneric_insertion"
"276" "Acestrocephalus_boehlkei" "Characidae" "Characiformes" "Congeneric_insertion"
"277" "Acestrocephalus_maculosus" "Characidae" "Characiformes" "Congeneric_insertion"
"278" "Acestrocephalus_nigrifasciatus" "Characidae" "Characiformes" "Congeneric_insertion"
"279" "Acestrocephalus_pallidus" "Characidae" "Characiformes" "Congeneric_insertion"
"280" "Acestrocephalus_sardina" "Characidae" "Characiformes" "Present_in_Tree"
"281" "Acestrocephalus_stigmatus" "Characidae" "Characiformes" "Congeneric_insertion"
"282" "Acestrorhynchus_abbreviatus" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"283" "Acestrorhynchus_altus" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"284" "Acestrorhynchus_britskii" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"285" "Acestrorhynchus_falcatus" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"286" "Acestrorhynchus_falcirostris" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"287" "Acestrorhynchus_grandoculis" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"288" "Acestrorhynchus_heterolepis" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"289" "Acestrorhynchus_isalineae" "Acestrorhynchidae" "Characiformes" "Congeneric_insertion"
"290" "Acestrorhynchus_lacustris" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"291" "Acestrorhynchus_maculipinna" "Acestrorhynchidae" "Characiformes" "Congeneric_insertion"
"292" "Acestrorhynchus_microlepis" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"293" "Acestrorhynchus_minimus" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"294" "Acestrorhynchus_nasutus" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"295" "Acestrorhynchus_pantaneiro" "Acestrorhynchidae" "Characiformes" "Present_in_Tree"
"296" "Acheilognathus_asmussii" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"297" "Acheilognathus_barbatulus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"298" "Acheilognathus_barbatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"299" "Acheilognathus_binidentatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"300" "Acheilognathus_brevicaudatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"301" "Acheilognathus_changtingensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"302" "Acheilognathus_coreanus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"303" "Acheilognathus_cyanostigma" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"304" "Acheilognathus_deignani" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"305" "Acheilognathus_elongatoides" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"306" "Acheilognathus_elongatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"307" "Acheilognathus_fasciodorsalis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"308" "Acheilognathus_gracilis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"309" "Acheilognathus_hondae" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"310" "Acheilognathus_hypselonotus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
