"s" "f" "o"
"10335" "Electrona_paucirastra" "Myctophidae" "Myctophiformes"
"10336" "Electrona_risso" "Myctophidae" "Myctophiformes"
"10337" "Electrona_subaspera" "Myctophidae" "Myctophiformes"
"10338" "Electrophorus_electricus" "Gymnotidae" "Gymnotiformes"
"10339" "Eleginops_maclovinus" "Eleginopsidae" "Perciformes"
"10340" "Eleginus_gracilis" "Gadidae" "Gadiformes"
"10341" "Eleginus_nawaga" "Gadidae" "Gadiformes"
"10342" "Eleotrica_cableae" "Gobiidae" "Gobiiformes"
"10343" "Eleotris_acanthopoma" "Eleotridae" "Gobiiformes"
"10344" "Eleotris_amblyopsis" "Eleotridae" "Gobiiformes"
"10345" "Eleotris_andamensis" "Eleotridae" "Gobiiformes"
"10346" "Eleotris_annobonensis" "Eleotridae" "Gobiiformes"
"10347" "Eleotris_aquadulcis" "Eleotridae" "Gobiiformes"
"10348" "Eleotris_balia" "Eleotridae" "Gobiiformes"
"10349" "Eleotris_brachyurus" "Eleotridae" "Gobiiformes"
"10350" "Eleotris_daganensis" "Eleotridae" "Gobiiformes"
"10351" "Eleotris_fasciatus" "Eleotridae" "Gobiiformes"
"10352" "Eleotris_fusca" "Eleotridae" "Gobiiformes"
"10353" "Eleotris_lutea" "Eleotridae" "Gobiiformes"
"10354" "Eleotris_macrocephala" "Eleotridae" "Gobiiformes"
"10355" "Eleotris_macrolepis" "Eleotridae" "Gobiiformes"
"10356" "Eleotris_mauritiana" "Eleotridae" "Gobiiformes"
"10357" "Eleotris_melanosoma" "Eleotridae" "Gobiiformes"
"10358" "Eleotris_melanura" "Eleotridae" "Gobiiformes"
"10359" "Eleotris_oxycephala" "Eleotridae" "Gobiiformes"
"10360" "Eleotris_pellegrini" "Eleotridae" "Gobiiformes"
"10361" "Eleotris_perniger" "Eleotridae" "Gobiiformes"
"10362" "Eleotris_picta" "Eleotridae" "Gobiiformes"
"10363" "Eleotris_pisonis" "Eleotridae" "Gobiiformes"
"10364" "Eleotris_pseudacanthopomus" "Eleotridae" "Gobiiformes"
"10365" "Eleotris_sandwicensis" "Eleotridae" "Gobiiformes"
"10366" "Eleotris_senegalensis" "Eleotridae" "Gobiiformes"
"10367" "Eleotris_soaresi" "Eleotridae" "Gobiiformes"
"10368" "Eleotris_tecta" "Eleotridae" "Gobiiformes"
"10369" "Eleotris_tubularis" "Eleotridae" "Gobiiformes"
"10370" "Eleotris_vittata" "Eleotridae" "Gobiiformes"
"10371" "Eleotris_vomerodentata" "Eleotridae" "Gobiiformes"
"10372" "Eleutherochir_opercularis" "Callionymidae" "Perciformes"
"10373" "Eleutheronema_rhadinum" "Polynemidae" "Perciformes"
"10374" "Eleutheronema_tetradactylum" "Polynemidae" "Perciformes"
"10375" "Eleutheronema_tridactylum" "Polynemidae" "Perciformes"
"10376" "Ellochelon_vaigiensis" "Mugilidae" "Mugiliformes"
"10377" "Ellopostoma_megalomycter" "Ellopostomatidae" "Cypriniformes"
"10378" "Ellopostoma_mystax" "Ellopostomatidae" "Cypriniformes"
"10379" "Elopichthys_bambusa" "Cyprinidae" "Cypriniformes"
"10380" "Elops_affinis" "Elopidae" "Elopiformes"
"10381" "Elops_hawaiensis" "Elopidae" "Elopiformes"
"10382" "Elops_lacerta" "Elopidae" "Elopiformes"
"10383" "Elops_machnata" "Elopidae" "Elopiformes"
"10384" "Elops_saurus" "Elopidae" "Elopiformes"
"10385" "Elops_senegalensis" "Elopidae" "Elopiformes"
"10386" "Elops_smithi" "Elopidae" "Elopiformes"
"10387" "Ematops_randalli" "Bythitidae" "Ophidiiformes"
"10388" "Embassichthys_bathybius" "Pleuronectidae" "Pleuronectiformes"
"10389" "Embiotoca_jacksoni" "Embiotocidae" "Perciformes"
"10390" "Embiotoca_lateralis" "Embiotocidae" "Perciformes"
"10391" "Emblemaria_atlantica" "Chaenopsidae" "Perciformes"
"10392" "Emblemaria_australis" "Chaenopsidae" "Perciformes"
"10393" "Emblemaria_biocellata" "Chaenopsidae" "Perciformes"
"10394" "Emblemaria_caldwelli" "Chaenopsidae" "Perciformes"
"10395" "Emblemaria_caycedoi" "Chaenopsidae" "Perciformes"
"10396" "Emblemaria_culmenis" "Chaenopsidae" "Perciformes"
"10397" "Emblemaria_diphyodontis" "Chaenopsidae" "Perciformes"
"10398" "Emblemaria_hudsoni" "Chaenopsidae" "Perciformes"
"10399" "Emblemaria_hyltoni" "Chaenopsidae" "Perciformes"
"10400" "Emblemaria_hypacanthus" "Chaenopsidae" "Perciformes"
"10401" "Emblemaria_nivipes" "Chaenopsidae" "Perciformes"
"10402" "Emblemaria_pandionis" "Chaenopsidae" "Perciformes"
"10403" "Emblemaria_piratica" "Chaenopsidae" "Perciformes"
"10404" "Emblemaria_piratula" "Chaenopsidae" "Perciformes"
"10405" "Emblemaria_vitta" "Chaenopsidae" "Perciformes"
"10406" "Emblemaria_walkeri" "Chaenopsidae" "Perciformes"
"10407" "Emblemariopsis_arawak" "Chaenopsidae" "Perciformes"
"10408" "Emblemariopsis_bahamensis" "Chaenopsidae" "Perciformes"
"10409" "Emblemariopsis_bottomei" "Chaenopsidae" "Perciformes"
"10410" "Emblemariopsis_carib" "Chaenopsidae" "Perciformes"
"10411" "Emblemariopsis_dianae" "Chaenopsidae" "Perciformes"
"10412" "Emblemariopsis_diaphana" "Chaenopsidae" "Perciformes"
"10413" "Emblemariopsis_leptocirris" "Chaenopsidae" "Perciformes"
"10414" "Emblemariopsis_occidentalis" "Chaenopsidae" "Perciformes"
"10415" "Emblemariopsis_pricei" "Chaenopsidae" "Perciformes"
"10416" "Emblemariopsis_ramirezi" "Chaenopsidae" "Perciformes"
"10417" "Emblemariopsis_randalli" "Chaenopsidae" "Perciformes"
"10418" "Emblemariopsis_ruetzleri" "Chaenopsidae" "Perciformes"
"10419" "Emblemariopsis_signifer" "Chaenopsidae" "Perciformes"
"10420" "Emblemariopsis_tayrona" "Chaenopsidae" "Perciformes"
"10421" "Emmelichthyops_atlanticus" "Haemulidae" "Incertae sedis in Eupercaria"
"10422" "Emmelichthys_elongatus" "Emmelichthyidae" "Incertae sedis in Eupercaria"
"10423" "Emmelichthys_karnellai" "Emmelichthyidae" "Incertae sedis in Eupercaria"
"10424" "Emmelichthys_marisrubri" "Emmelichthyidae" "Incertae sedis in Eupercaria"
"10425" "Emmelichthys_nitidus_cyanescens" "Emmelichthyidae" "Incertae sedis in Eupercaria"
"10426" "Emmelichthys_nitidus_nitidus" "Emmelichthyidae" "Incertae sedis in Eupercaria"
"10427" "Emmelichthys_ruber" "Emmelichthyidae" "Incertae sedis in Eupercaria"
"10428" "Emmelichthys_struhsakeri" "Emmelichthyidae" "Incertae sedis in Eupercaria"
"10429" "Empetrichthys_latos" "Goodeidae" "Cyprinodontiformes"
"10430" "Empetrichthys_merriami" "Goodeidae" "Cyprinodontiformes"
"10431" "Encheliophis_boraborensis" "Carapidae" "Ophidiiformes"
"10432" "Encheliophis_chardewalli" "Carapidae" "Ophidiiformes"
"10433" "Encheliophis_gracilis" "Carapidae" "Ophidiiformes"
"10434" "Encheliophis_homei" "Carapidae" "Ophidiiformes"
"10435" "Encheliophis_sagamianus" "Carapidae" "Ophidiiformes"
"10436" "Encheliophis_vermicularis" "Carapidae" "Ophidiiformes"
"10437" "Encheliophis_vermiops" "Carapidae" "Ophidiiformes"
"10438" "Encheloclarias_baculum" "Clariidae" "Siluriformes"
"10439" "Encheloclarias_curtisoma" "Clariidae" "Siluriformes"
"10440" "Encheloclarias_kelioides" "Clariidae" "Siluriformes"
"10441" "Encheloclarias_medialis" "Clariidae" "Siluriformes"
"10442" "Encheloclarias_prolatus" "Clariidae" "Siluriformes"
"10443" "Encheloclarias_tapeinopterus" "Clariidae" "Siluriformes"
"10444" "Encheloclarias_velatus" "Clariidae" "Siluriformes"
"10445" "Enchelybrotula_gomoni" "Ophidiidae" "Ophidiiformes"
"10446" "Enchelybrotula_paucidens" "Ophidiidae" "Ophidiiformes"
"10447" "Enchelycore_anatina" "Muraenidae" "Anguilliformes"
"10448" "Enchelycore_bayeri" "Muraenidae" "Anguilliformes"
"10449" "Enchelycore_bikiniensis" "Muraenidae" "Anguilliformes"
"10450" "Enchelycore_carychroa" "Muraenidae" "Anguilliformes"
"10451" "Enchelycore_kamara" "Muraenidae" "Anguilliformes"
"10452" "Enchelycore_lichenosa" "Muraenidae" "Anguilliformes"
"10453" "Enchelycore_nigricans" "Muraenidae" "Anguilliformes"
"10454" "Enchelycore_nycturanus" "Muraenidae" "Anguilliformes"
"10455" "Enchelycore_octaviana" "Muraenidae" "Anguilliformes"
"10456" "Enchelycore_pardalis" "Muraenidae" "Anguilliformes"
"10457" "Enchelycore_ramosa" "Muraenidae" "Anguilliformes"
"10458" "Enchelycore_schismatorhynchus" "Muraenidae" "Anguilliformes"
"10459" "Enchelynassa_canina" "Muraenidae" "Anguilliformes"
"10460" "Enchelyopus_cimbrius" "Lotidae" "Gadiformes"
"10461" "Enchelyurus_ater" "Blenniidae" "Perciformes"
"10462" "Enchelyurus_brunneolus" "Blenniidae" "Perciformes"
"10463" "Enchelyurus_flavipes" "Blenniidae" "Perciformes"
"10464" "Enchelyurus_kraussii" "Blenniidae" "Perciformes"
"10465" "Enchelyurus_petersi" "Blenniidae" "Perciformes"
"10466" "Encrasicholina_devisi" "Engraulidae" "Clupeiformes"
"10467" "Encrasicholina_gloria" "Engraulidae" "Clupeiformes"
"10468" "Encrasicholina_heteroloba" "Engraulidae" "Clupeiformes"
"10469" "Encrasicholina_intermedia" "Engraulidae" "Clupeiformes"
"10470" "Encrasicholina_macrocephala" "Engraulidae" "Clupeiformes"
"10471" "Encrasicholina_oligobranchus" "Engraulidae" "Clupeiformes"
"10472" "Encrasicholina_punctifer" "Engraulidae" "Clupeiformes"
"10473" "Encrasicholina_purpurea" "Engraulidae" "Clupeiformes"
"10474" "Engraulicypris_bredoi" "Cyprinidae" "Cypriniformes"
"10475" "Engraulicypris_brevianalis" "Cyprinidae" "Cypriniformes"
"10476" "Engraulicypris_gariepinus" "Cyprinidae" "Cypriniformes"
"10477" "Engraulicypris_howesi" "Cyprinidae" "Cypriniformes"
"10478" "Engraulicypris_moeruensis" "Cyprinidae" "Cypriniformes"
"10479" "Engraulicypris_ngalala" "Cyprinidae" "Cypriniformes"
"10480" "Engraulicypris_sardella" "Cyprinidae" "Cypriniformes"
"10481" "Engraulicypris_spinifer" "Cyprinidae" "Cypriniformes"
"10482" "Engraulis_albidus" "Engraulidae" "Clupeiformes"
"10483" "Engraulis_anchoita" "Engraulidae" "Clupeiformes"
"10484" "Engraulis_australis" "Engraulidae" "Clupeiformes"
"10485" "Engraulis_capensis" "Engraulidae" "Clupeiformes"
"10486" "Engraulis_encrasicolus" "Engraulidae" "Clupeiformes"
"10487" "Engraulis_eurystole" "Engraulidae" "Clupeiformes"
"10488" "Engraulis_japonicus" "Engraulidae" "Clupeiformes"
"10489" "Engraulis_mordax" "Engraulidae" "Clupeiformes"
"10490" "Engraulis_ringens" "Engraulidae" "Clupeiformes"
"10491" "Engraulisoma_taeniatum" "Triportheidae" "Characiformes"
"10492" "Engyophrys_sanctilaurentii" "Bothidae" "Pleuronectiformes"
"10493" "Engyophrys_senta" "Bothidae" "Pleuronectiformes"
"10494" "Engyprosopon_annulatus" "Bothidae" "Pleuronectiformes"
"10495" "Engyprosopon_arenicola" "Bothidae" "Pleuronectiformes"
"10496" "Engyprosopon_bellonaensis" "Bothidae" "Pleuronectiformes"
"10497" "Engyprosopon_bleekeri" "Bothidae" "Pleuronectiformes"
"10498" "Engyprosopon_filipennis" "Bothidae" "Pleuronectiformes"
"10499" "Engyprosopon_grandisquama" "Bothidae" "Pleuronectiformes"
"10500" "Engyprosopon_hawaiiensis" "Bothidae" "Pleuronectiformes"
"10501" "Engyprosopon_hensleyi" "Bothidae" "Pleuronectiformes"
"10502" "Engyprosopon_hureaui" "Bothidae" "Pleuronectiformes"
"10503" "Engyprosopon_kushimotoensis" "Bothidae" "Pleuronectiformes"
"10504" "Engyprosopon_latifrons" "Bothidae" "Pleuronectiformes"
"10505" "Engyprosopon_longipelvis" "Bothidae" "Pleuronectiformes"
"10506" "Engyprosopon_longipterum" "Bothidae" "Pleuronectiformes"
"10507" "Engyprosopon_macrolepis" "Bothidae" "Pleuronectiformes"
"10508" "Engyprosopon_maldivensis" "Bothidae" "Pleuronectiformes"
"10509" "Engyprosopon_marquisensis" "Bothidae" "Pleuronectiformes"
"10510" "Engyprosopon_mogkii" "Bothidae" "Pleuronectiformes"
"10511" "Engyprosopon_mozambiquensis" "Bothidae" "Pleuronectiformes"
"10512" "Engyprosopon_multisquama" "Bothidae" "Pleuronectiformes"
"10513" "Engyprosopon_natalensis" "Bothidae" "Pleuronectiformes"
"10514" "Engyprosopon_obliquioculatum" "Bothidae" "Pleuronectiformes"
"10515" "Engyprosopon_osculus" "Bothidae" "Pleuronectiformes"
"10516" "Engyprosopon_raoulensis" "Bothidae" "Pleuronectiformes"
"10517" "Engyprosopon_regani" "Bothidae" "Pleuronectiformes"
"10518" "Engyprosopon_rostratum" "Bothidae" "Pleuronectiformes"
"10519" "Engyprosopon_sechellensis" "Bothidae" "Pleuronectiformes"
"10520" "Engyprosopon_septempes" "Bothidae" "Pleuronectiformes"
"10521" "Engyprosopon_vanuatuensis" "Bothidae" "Pleuronectiformes"
"10522" "Engyprosopon_xenandrus" "Bothidae" "Pleuronectiformes"
"10523" "Engyprosopon_xystrias" "Bothidae" "Pleuronectiformes"
"10524" "Enigmacanthus_filamentosus" "Monacanthidae" "Tetraodontiformes"
"10525" "Enigmapercis_acutirostris" "Percophidae" "Pempheriformes"
"10526" "Enigmapercis_reducta" "Percophidae" "Pempheriformes"
"10527" "Enigmatochromis_lucanusi" "Cichlidae" "Cichliformes"
"10528" "Enneacampus_ansorgii" "Syngnathidae" "Syngnathiformes"
"10529" "Enneacampus_kaupi" "Syngnathidae" "Syngnathiformes"
"10530" "Enneacanthus_chaetodon" "Centrarchidae" "Centrarchiformes"
"10531" "Enneacanthus_gloriosus" "Centrarchidae" "Centrarchiformes"
"10532" "Enneacanthus_obesus" "Centrarchidae" "Centrarchiformes"
"10533" "Enneanectes_altivelis" "Tripterygiidae" "Perciformes"
"10534" "Enneanectes_atrorus" "Tripterygiidae" "Perciformes"
"10535" "Enneanectes_boehlkei" "Tripterygiidae" "Perciformes"
"10536" "Enneanectes_carminalis" "Tripterygiidae" "Perciformes"
"10537" "Enneanectes_deloachorum" "Tripterygiidae" "Perciformes"
"10538" "Enneanectes_exsul" "Tripterygiidae" "Perciformes"
"10539" "Enneanectes_glendae" "Tripterygiidae" "Perciformes"
"10540" "Enneanectes_jordani" "Tripterygiidae" "Perciformes"
"10541" "Enneanectes_macrops" "Tripterygiidae" "Perciformes"
"10542" "Enneanectes_matador" "Tripterygiidae" "Perciformes"
"10543" "Enneanectes_quadra" "Tripterygiidae" "Perciformes"
"10544" "Enneanectes_reticulatus" "Tripterygiidae" "Perciformes"
"10545" "Enneanectes_smithi" "Tripterygiidae" "Perciformes"
"10546" "Enneanectes_wilki" "Tripterygiidae" "Perciformes"
"10547" "Enneapterygius_abeli" "Tripterygiidae" "Perciformes"
"10548" "Enneapterygius_atriceps" "Tripterygiidae" "Perciformes"
"10549" "Enneapterygius_atrogulare" "Tripterygiidae" "Perciformes"
"10550" "Enneapterygius_bahasa" "Tripterygiidae" "Perciformes"
"10551" "Enneapterygius_cheni" "Tripterygiidae" "Perciformes"
"10552" "Enneapterygius_clarkae" "Tripterygiidae" "Perciformes"
"10553" "Enneapterygius_clea" "Tripterygiidae" "Perciformes"
"10554" "Enneapterygius_destai" "Tripterygiidae" "Perciformes"
"10555" "Enneapterygius_elaine" "Tripterygiidae" "Perciformes"
"10556" "Enneapterygius_elegans" "Tripterygiidae" "Perciformes"
"10557" "Enneapterygius_etheostomus" "Tripterygiidae" "Perciformes"
"10558" "Enneapterygius_fasciatus" "Tripterygiidae" "Perciformes"
"10559" "Enneapterygius_flavoccipitis" "Tripterygiidae" "Perciformes"
"10560" "Enneapterygius_fuscoventer" "Tripterygiidae" "Perciformes"
"10561" "Enneapterygius_genamaculatus" "Tripterygiidae" "Perciformes"
"10562" "Enneapterygius_gracilis" "Tripterygiidae" "Perciformes"
"10563" "Enneapterygius_gruschkai" "Tripterygiidae" "Perciformes"
"10564" "Enneapterygius_hemimelas" "Tripterygiidae" "Perciformes"
"10565" "Enneapterygius_hollemani" "Tripterygiidae" "Perciformes"
"10566" "Enneapterygius_howensis" "Tripterygiidae" "Perciformes"
"10567" "Enneapterygius_hsiojenae" "Tripterygiidae" "Perciformes"
"10568" "Enneapterygius_kermadecensis" "Tripterygiidae" "Perciformes"
"10569" "Enneapterygius_kosiensis" "Tripterygiidae" "Perciformes"
"10570" "Enneapterygius_larsonae" "Tripterygiidae" "Perciformes"
"10571" "Enneapterygius_leucopunctatus" "Tripterygiidae" "Perciformes"
"10572" "Enneapterygius_melanospilus" "Tripterygiidae" "Perciformes"
"10573" "Enneapterygius_minutus" "Tripterygiidae" "Perciformes"
"10574" "Enneapterygius_mirabilis" "Tripterygiidae" "Perciformes"
"10575" "Enneapterygius_miyakensis" "Tripterygiidae" "Perciformes"
"10576" "Enneapterygius_namarrgon" "Tripterygiidae" "Perciformes"
"10577" "Enneapterygius_nanus" "Tripterygiidae" "Perciformes"
"10578" "Enneapterygius_niger" "Tripterygiidae" "Perciformes"
"10579" "Enneapterygius_nigricauda" "Tripterygiidae" "Perciformes"
"10580" "Enneapterygius_niue" "Tripterygiidae" "Perciformes"
"10581" "Enneapterygius_obscurus" "Tripterygiidae" "Perciformes"
"10582" "Enneapterygius_ornatus" "Tripterygiidae" "Perciformes"
"10583" "Enneapterygius_pallidoserialis" "Tripterygiidae" "Perciformes"
"10584" "Enneapterygius_pallidus" "Tripterygiidae" "Perciformes"
"10585" "Enneapterygius_paucifasciatus" "Tripterygiidae" "Perciformes"
"10586" "Enneapterygius_philippinus" "Tripterygiidae" "Perciformes"
"10587" "Enneapterygius_pusillus" "Tripterygiidae" "Perciformes"
"10588" "Enneapterygius_pyramis" "Tripterygiidae" "Perciformes"
"10589" "Enneapterygius_qirmiz" "Tripterygiidae" "Perciformes"
"10590" "Enneapterygius_randalli" "Tripterygiidae" "Perciformes"
"10591" "Enneapterygius_rhabdotus" "Tripterygiidae" "Perciformes"
"10592" "Enneapterygius_rhothion" "Tripterygiidae" "Perciformes"
"10593" "Enneapterygius_rubicauda" "Tripterygiidae" "Perciformes"
"10594" "Enneapterygius_rufopileus" "Tripterygiidae" "Perciformes"
"10595" "Enneapterygius_senoui" "Tripterygiidae" "Perciformes"
"10596" "Enneapterygius_shaoi" "Tripterygiidae" "Perciformes"
"10597" "Enneapterygius_sheni" "Tripterygiidae" "Perciformes"
"10598" "Enneapterygius_signicauda" "Tripterygiidae" "Perciformes"
"10599" "Enneapterygius_similis" "Tripterygiidae" "Perciformes"
"10600" "Enneapterygius_triserialis" "Tripterygiidae" "Perciformes"
"10601" "Enneapterygius_trisignatus" "Tripterygiidae" "Perciformes"
"10602" "Enneapterygius_tutuilae" "Tripterygiidae" "Perciformes"
"10603" "Enneapterygius_unimaculatus" "Tripterygiidae" "Perciformes"
"10604" "Enneapterygius_ventermaculus" "Tripterygiidae" "Perciformes"
"10605" "Enneapterygius_vexillarius" "Tripterygiidae" "Perciformes"
"10606" "Enneapterygius_williamsi" "Tripterygiidae" "Perciformes"
"10607" "Enneapterygius_ziegleri" "Tripterygiidae" "Perciformes"
"10608" "Enophrys_bison" "Cottidae" "Perciformes"
"10609" "Enophrys_diceraus" "Cottidae" "Perciformes"
"10610" "Enophrys_lucasi" "Cottidae" "Perciformes"
"10611" "Enophrys_taurina" "Cottidae" "Perciformes"
"10612" "Enoplosus_armatus" "Enoplosidae" "Centrarchiformes"
"10613" "Entelurus_aequoreus" "Syngnathidae" "Syngnathiformes"
"10614" "Enteromius_ablabes" "Cyprinidae" "Cypriniformes"
"10615" "Enteromius_aboinensis" "Cyprinidae" "Cypriniformes"
"10616" "Enteromius_afrohamiltoni" "Cyprinidae" "Cypriniformes"
"10617" "Enteromius_afrovernayi" "Cyprinidae" "Cypriniformes"
"10618" "Enteromius_aliciae" "Cyprinidae" "Cypriniformes"
"10619" "Enteromius_aloyi" "Cyprinidae" "Cypriniformes"
"10620" "Enteromius_amanpoae" "Cyprinidae" "Cypriniformes"
"10621" "Enteromius_amatolicus" "Cyprinidae" "Cypriniformes"
"10622" "Enteromius_anema" "Cyprinidae" "Cypriniformes"
"10623" "Enteromius_annectens" "Cyprinidae" "Cypriniformes"
"10624" "Enteromius_anniae" "Cyprinidae" "Cypriniformes"
"10625" "Enteromius_anoplus" "Cyprinidae" "Cypriniformes"
"10626" "Enteromius_ansorgii" "Cyprinidae" "Cypriniformes"
"10627" "Enteromius_apleurogramma" "Cyprinidae" "Cypriniformes"
"10628" "Enteromius_arambourgi" "Cyprinidae" "Cypriniformes"
"10629" "Enteromius_arcislongae" "Cyprinidae" "Cypriniformes"
"10630" "Enteromius_argenteus" "Cyprinidae" "Cypriniformes"
"10631" "Enteromius_aspilus" "Cyprinidae" "Cypriniformes"
"10632" "Enteromius_atakorensis" "Cyprinidae" "Cypriniformes"
"10633" "Enteromius_atkinsoni" "Cyprinidae" "Cypriniformes"
"10634" "Enteromius_atromaculatus" "Cyprinidae" "Cypriniformes"
"10635" "Enteromius_bagbwensis" "Cyprinidae" "Cypriniformes"
"10636" "Enteromius_barnardi" "Cyprinidae" "Cypriniformes"
"10637" "Enteromius_barotseensis" "Cyprinidae" "Cypriniformes"
"10638" "Enteromius_baudoni" "Cyprinidae" "Cypriniformes"
"10639" "Enteromius_bawkuensis" "Cyprinidae" "Cypriniformes"
"10640" "Enteromius_bifrenatus" "Cyprinidae" "Cypriniformes"
"10641" "Enteromius_bigornei" "Cyprinidae" "Cypriniformes"
"10642" "Enteromius_boboi" "Cyprinidae" "Cypriniformes"
"10643" "Enteromius_bourdariei" "Cyprinidae" "Cypriniformes"
"10644" "Enteromius_brachygramma" "Cyprinidae" "Cypriniformes"
"10645" "Enteromius_brazzai" "Cyprinidae" "Cypriniformes"
"10646" "Enteromius_breviceps" "Cyprinidae" "Cypriniformes"
"10647" "Enteromius_brevidorsalis" "Cyprinidae" "Cypriniformes"
"10648" "Enteromius_brevilateralis" "Cyprinidae" "Cypriniformes"
"10649" "Enteromius_brevipinnis" "Cyprinidae" "Cypriniformes"
"10650" "Enteromius_brichardi" "Cyprinidae" "Cypriniformes"
"10651" "Enteromius_cadenati" "Cyprinidae" "Cypriniformes"
"10652" "Enteromius_callipterus" "Cyprinidae" "Cypriniformes"
"10653" "Enteromius_camptacanthus" "Cyprinidae" "Cypriniformes"
"10654" "Enteromius_candens" "Cyprinidae" "Cypriniformes"
"10655" "Enteromius_carcharhinoides" "Cyprinidae" "Cypriniformes"
"10656" "Enteromius_carens" "Cyprinidae" "Cypriniformes"
"10657" "Enteromius_castrasibutum" "Cyprinidae" "Cypriniformes"
"10658" "Enteromius_catenarius" "Cyprinidae" "Cypriniformes"
"10659" "Enteromius_caudosignatus" "Cyprinidae" "Cypriniformes"
"10660" "Enteromius_cercops" "Cyprinidae" "Cypriniformes"
"10661" "Enteromius_chicapaensis" "Cyprinidae" "Cypriniformes"
"10662" "Enteromius_chiumbeensis" "Cyprinidae" "Cypriniformes"
"10663" "Enteromius_chlorotaenia" "Cyprinidae" "Cypriniformes"
"10664" "Enteromius_choloensis" "Cyprinidae" "Cypriniformes"
"10665" "Enteromius_citrinus" "Cyprinidae" "Cypriniformes"
"10666" "Enteromius_clauseni" "Cyprinidae" "Cypriniformes"
"10667" "Enteromius_collarti" "Cyprinidae" "Cypriniformes"
"10668" "Enteromius_condei" "Cyprinidae" "Cypriniformes"
"10669" "Enteromius_deguidei" "Cyprinidae" "Cypriniformes"
"10670" "Enteromius_deserti" "Cyprinidae" "Cypriniformes"
"10671" "Enteromius_devosi" "Cyprinidae" "Cypriniformes"
"10672" "Enteromius_dialonensis" "Cyprinidae" "Cypriniformes"
"10673" "Enteromius_diamouanganai" "Cyprinidae" "Cypriniformes"
"10674" "Enteromius_ditinensis" "Cyprinidae" "Cypriniformes"
"10675" "Enteromius_dorsolineatus" "Cyprinidae" "Cypriniformes"
"10676" "Enteromius_eburneensis" "Cyprinidae" "Cypriniformes"
"10677" "Enteromius_erythrozonus" "Cyprinidae" "Cypriniformes"
"10678" "Enteromius_eutaenia" "Cyprinidae" "Cypriniformes"
"10679" "Enteromius_evansi" "Cyprinidae" "Cypriniformes"
"10680" "Enteromius_fasciolatus" "Cyprinidae" "Cypriniformes"
"10681" "Enteromius_foutensis" "Cyprinidae" "Cypriniformes"
"10682" "Enteromius_greenwoodi" "Cyprinidae" "Cypriniformes"
"10683" "Enteromius_guildi" "Cyprinidae" "Cypriniformes"
"10684" "Enteromius_guineensis" "Cyprinidae" "Cypriniformes"
"10685" "Enteromius_guirali" "Cyprinidae" "Cypriniformes"
"10686" "Enteromius_gurneyi" "Cyprinidae" "Cypriniformes"
"10687" "Enteromius_haasianus" "Cyprinidae" "Cypriniformes"
"10688" "Enteromius_holotaenia" "Cyprinidae" "Cypriniformes"
"10689" "Enteromius_huguenyi" "Cyprinidae" "Cypriniformes"
"10690" "Enteromius_hulstaerti" "Cyprinidae" "Cypriniformes"
"10691" "Enteromius_humeralis" "Cyprinidae" "Cypriniformes"
"10692" "Enteromius_humilis" "Cyprinidae" "Cypriniformes"
"10693" "Enteromius_inaequalis" "Cyprinidae" "Cypriniformes"
"10694" "Enteromius_innocens" "Cyprinidae" "Cypriniformes"
"10695" "Enteromius_jacksoni" "Cyprinidae" "Cypriniformes"
"10696" "Enteromius_jae" "Cyprinidae" "Cypriniformes"
"10697" "Enteromius_janssensi" "Cyprinidae" "Cypriniformes"
"10698" "Enteromius_kamolondoensis" "Cyprinidae" "Cypriniformes"
"10699" "Enteromius_kerstenii" "Cyprinidae" "Cypriniformes"
"10700" "Enteromius_kessleri" "Cyprinidae" "Cypriniformes"
"10701" "Enteromius_kissiensis" "Cyprinidae" "Cypriniformes"
"10702" "Enteromius_kuiluensis" "Cyprinidae" "Cypriniformes"
"10703" "Enteromius_lamani" "Cyprinidae" "Cypriniformes"
"10704" "Enteromius_laticeps" "Cyprinidae" "Cypriniformes"
"10705" "Enteromius_lauzannei" "Cyprinidae" "Cypriniformes"
"10706" "Enteromius_leonensis" "Cyprinidae" "Cypriniformes"
"10707" "Enteromius_liberiensis" "Cyprinidae" "Cypriniformes"
"10708" "Enteromius_lineomaculatus" "Cyprinidae" "Cypriniformes"
"10709" "Enteromius_litamba" "Cyprinidae" "Cypriniformes"
"10710" "Enteromius_lornae" "Cyprinidae" "Cypriniformes"
"10711" "Enteromius_loveridgii" "Cyprinidae" "Cypriniformes"
"10712" "Enteromius_lufukiensis" "Cyprinidae" "Cypriniformes"
"10713" "Enteromius_luikae" "Cyprinidae" "Cypriniformes"
"10714" "Enteromius_lujae" "Cyprinidae" "Cypriniformes"
"10715" "Enteromius_lukindae" "Cyprinidae" "Cypriniformes"
"10716" "Enteromius_lukusiensis" "Cyprinidae" "Cypriniformes"
"10717" "Enteromius_luluae" "Cyprinidae" "Cypriniformes"
"10718" "Enteromius_machadoi" "Cyprinidae" "Cypriniformes"
"10719" "Enteromius_macinensis" "Cyprinidae" "Cypriniformes"
"10720" "Enteromius_macrops" "Cyprinidae" "Cypriniformes"
"10721" "Enteromius_macrotaenia" "Cyprinidae" "Cypriniformes"
"10722" "Enteromius_magdalenae" "Cyprinidae" "Cypriniformes"
"10723" "Enteromius_manicensis" "Cyprinidae" "Cypriniformes"
"10724" "Enteromius_marmoratus" "Cyprinidae" "Cypriniformes"
