"s" "f" "o"
"92" "Acanthistius_paxtoni" "Serranidae" "Perciformes"
"93" "Acanthistius_pictus" "Serranidae" "Perciformes"
"94" "Acanthistius_sebastoides" "Serranidae" "Perciformes"
"95" "Acanthistius_serratus" "Serranidae" "Perciformes"
"96" "Acanthobrama_centisquama" "Cyprinidae" "Cypriniformes"
"97" "Acanthobrama_hadiyahensis" "Cyprinidae" "Cypriniformes"
"98" "Acanthobrama_lissneri" "Cyprinidae" "Cypriniformes"
"99" "Acanthobrama_marmid" "Cyprinidae" "Cypriniformes"
"100" "Acanthobrama_microlepis" "Cyprinidae" "Cypriniformes"
"101" "Acanthobrama_orontis" "Cyprinidae" "Cypriniformes"
"102" "Acanthobrama_persidis" "Cyprinidae" "Cypriniformes"
"103" "Acanthobrama_telavivensis" "Cyprinidae" "Cypriniformes"
"104" "Acanthobrama_thisbeae" "Cyprinidae" "Cypriniformes"
"105" "Acanthobrama_tricolor" "Cyprinidae" "Cypriniformes"
"106" "Acanthobrama_urmianus" "Cyprinidae" "Cypriniformes"
"107" "Acanthobunocephalus_nicoi" "Aspredinidae" "Siluriformes"
"108" "Acanthocepola_abbreviata" "Cepolidae" "Perciformes"
"109" "Acanthocepola_indica" "Cepolidae" "Perciformes"
"110" "Acanthocepola_krusensternii" "Cepolidae" "Perciformes"
"111" "Acanthocepola_limbata" "Cepolidae" "Perciformes"
"112" "Acanthochaenus_luetkenii" "Stephanoberycidae" "Stephanoberyciformes"
"113" "Acanthocharax_microlepis" "Characidae" "Characiformes"
"114" "Acanthochromis_polyacanthus" "Pomacentridae" "Perciformes"
"115" "Acanthocleithron_chapini" "Mochokidae" "Siluriformes"
"116" "Acanthoclinus_fuscus" "Plesiopidae" "Perciformes"
"117" "Acanthoclinus_littoreus" "Plesiopidae" "Perciformes"
"118" "Acanthoclinus_marilynae" "Plesiopidae" "Perciformes"
"119" "Acanthoclinus_matti" "Plesiopidae" "Perciformes"
"120" "Acanthoclinus_rua" "Plesiopidae" "Perciformes"
"121" "Acanthocobitis_botia" "Nemacheilidae" "Cypriniformes"
"122" "Acanthocobitis_mooreh" "Nemacheilidae" "Cypriniformes"
"123" "Acanthocobitis_pavonacea" "Nemacheilidae" "Cypriniformes"
"124" "Acanthocobitis_pictilis" "Nemacheilidae" "Cypriniformes"
"125" "Acanthocobitis_rubidipinnis" "Nemacheilidae" "Cypriniformes"
"126" "Acanthocobitis_urophthalmus" "Nemacheilidae" "Cypriniformes"
"127" "Acanthocybium_solandri" "Scombridae" "Perciformes"
"128" "Acanthodoras_cataphractus" "Doradidae" "Siluriformes"
"129" "Acanthodoras_depressus" "Doradidae" "Siluriformes"
"130" "Acanthodoras_spinosissimus" "Doradidae" "Siluriformes"
"131" "Acanthodraco_dewitti" "Bathydraconidae" "Perciformes"
"132" "Acanthogobio_guentheri" "Cyprinidae" "Cypriniformes"
"133" "Acanthogobius_elongatus" "Gobiidae" "Gobiiformes"
"134" "Acanthogobius_flavimanus" "Gobiidae" "Gobiiformes"
"135" "Acanthogobius_hasta" "Gobiidae" "Gobiiformes"
"136" "Acanthogobius_insularis" "Gobiidae" "Gobiiformes"
"137" "Acanthogobius_lactipes" "Gobiidae" "Gobiiformes"
"138" "Acanthogobius_luridus" "Gobiidae" "Gobiiformes"
"139" "Acantholabrus_palloni" "Labridae" "Labriformes"
"140" "Acantholiparis_caecus" "Liparidae" "Perciformes"
"141" "Acantholiparis_opercularis" "Liparidae" "Perciformes"
"142" "Acantholumpenus_mackayi" "Stichaeidae" "Perciformes"
"143" "Acanthonus_armatus" "Ophidiidae" "Ophidiiformes"
"144" "Acanthopagrus_akazakii" "Sparidae" "Spariformes"
"145" "Acanthopagrus_arabicus" "Sparidae" "Spariformes"
"146" "Acanthopagrus_australis" "Sparidae" "Spariformes"
"147" "Acanthopagrus_berda" "Sparidae" "Spariformes"
"148" "Acanthopagrus_bifasciatus" "Sparidae" "Spariformes"
"149" "Acanthopagrus_butcheri" "Sparidae" "Spariformes"
"150" "Acanthopagrus_catenula" "Sparidae" "Spariformes"
"151" "Acanthopagrus_chinshira" "Sparidae" "Spariformes"
"152" "Acanthopagrus_latus" "Sparidae" "Spariformes"
"153" "Acanthopagrus_longispinnis" "Sparidae" "Spariformes"
"154" "Acanthopagrus_morrisoni" "Sparidae" "Spariformes"
"155" "Acanthopagrus_omanensis" "Sparidae" "Spariformes"
"156" "Acanthopagrus_pacificus" "Sparidae" "Spariformes"
"157" "Acanthopagrus_palmaris" "Sparidae" "Spariformes"
"158" "Acanthopagrus_randalli" "Sparidae" "Spariformes"
"159" "Acanthopagrus_schlegelii" "Sparidae" "Spariformes"
"160" "Acanthopagrus_sheim" "Sparidae" "Spariformes"
"161" "Acanthopagrus_sivicolus" "Sparidae" "Spariformes"
"162" "Acanthopagrus_taiwanensis" "Sparidae" "Spariformes"
"163" "Acanthopagrus_vagus" "Sparidae" "Spariformes"
"164" "Acanthoplesiops_cappuccino" "Plesiopidae" "Perciformes"
"165" "Acanthoplesiops_echinatus" "Plesiopidae" "Perciformes"
"166" "Acanthoplesiops_hiatti" "Plesiopidae" "Perciformes"
"167" "Acanthoplesiops_indicus" "Plesiopidae" "Perciformes"
"168" "Acanthoplesiops_naka" "Plesiopidae" "Perciformes"
"169" "Acanthoplesiops_psilogaster" "Plesiopidae" "Perciformes"
"170" "Acanthopoma_annectens" "Trichomycteridae" "Siluriformes"
"171" "Acanthopsetta_nadeshnyi" "Pleuronectidae" "Pleuronectiformes"
"172" "Acanthopsoides_delphax" "Cobitidae" "Cypriniformes"
"173" "Acanthopsoides_gracilentus" "Cobitidae" "Cypriniformes"
"174" "Acanthopsoides_gracilis" "Cobitidae" "Cypriniformes"
"175" "Acanthopsoides_hapalias" "Cobitidae" "Cypriniformes"
"176" "Acanthopsoides_molobrion" "Cobitidae" "Cypriniformes"
"177" "Acanthopsoides_namromensis" "Cobitidae" "Cypriniformes"
