Country	PD_Deficit	Total_N	Backbone_tree	GDP						
Pakistan	0.41466037	602	412	1449.11718						
Palau	0.447530268	1474	976	13250.89835						
Panama	0.564728987	1265	687	12172.31081						
Papua_New_Guinea	0.546174858	2602	1402	2666.211255						
Paraguay	0.489350726	244	144	5656.261202						
Peru	0.583070281	1359	597	5807.065401						
Philippines	0.583651027	2991	1480	3271.649888						
Poland	0.120065739	106	98	14660.79392						
Portugal	0.312588809	456	366	19771.57742						
Puerto_Rico	0.412222481	716	499	28236.78307						
Qatar	0.433566918	438	286	56026.88725						
Romania	0.281811721	173	145	10865.14106						
Russian_Federation	0.36375562	860	582	9711.417969						
Rwanda	0.75703612	62	18	834.3966611						
Samoa	0.360489314	924	695	4359.11864						
Sao_Tome_and_Principe	0.488609085	310	191	1692.218743						
Saudi_Arabia	0.489071439	760	451	18700.22584						
Senegal	0.469665937	667	420	1365.251563						
Serbia	0.119260856	72	69	6549.350063						
Seychelles	0.449936237	1088	749	15544.46385						
Sierra_Leone	0.500866804	585	350	623.8890927						
Singapore	0.429508009	593	390	58982.46091						
Slovak_Republic	0.048219552	62	60	17360.71119						
Slovenia	0.226818312	326	282	22899.3607						
Solomon_Islands	0.53544139	938	541	2136.229053						
Somalia	0.418143423	754	543	444.7884307						
South_Africa	0.467043014	1764	1134	5659.206949						
Spain	0.31364572	650	501	24939.18726						
Sri_Lanka	0.435035444	970	669	4053.726183						
St._Kitts_and_Nevis	0.279556463	425	350	17404.41357						
St._Lucia	0.281102284	456	374	8651.349333						
St._Vincent_and_the_Grenadines	0.277902613	450	370	7354.646191						
Sudan	0.406613652	436	306	1852.80896						
Suriname	0.472989743	942	589	7529.6141						
Sweden	0.099047703	194	179	51541.65573						
Switzerland	0.156053385	59	49	85685.29027						
Tajikistan	1	4	0	1197.902812						
Tanzania	0.437487076	1556	952	1061.170288						
Thailand	0.501372057	1951	1135	6187.070289						
Timor-Leste	0.314050118	304	236	1587.857159						
Togo	0.462149835	483	314	626.6220554						
Tonga	0.400300515	1095	785	4629.881391						
Trinidad_and_Tobago	0.41073836	890	634	15067.7088						
Tunisia	0.240940329	266	226	3800.231943						
Turkiye	0.344085589	620	394	12038.62811						
Turks_and_Caicos_Islands	0.27559784	349	283	20723.91369						
Tuvalu	0.342978066	171	141	3946.361442						
Uganda	0.611362604	251	64	891.2959039						
Ukraine	0.27107347	216	174	2350.399902						
United_Arab_Emirates	0.435000206	448	294	37497.58071						
United_Kingdom	0.232001504	322	275	43166.1552						
United_States	0.385127449	2385	1755	58060.31395						
Uruguay	0.414854933	583	398	15002.64937						
Uzbekistan	0.568472589	49	32	3159.726047						
Vanuatu	0.412742989	789	541	2661.572765						
Vietnam	0.449719641	2239	1399	3316.004252						
Virgin_Islands_(U.S.)	0.338207719	525	396	35620.87192						
Yemen,_Rep.	0.433797462	670	475	1144.416671						
Zambia	0.599596488	360	232	1273.879558						
Zimbabwe	0.521200418	124	66	1307.01363						
